Timestamp	Lambda3	Lambda4	Lambda5	Lambda6	Lambda7	Lambda9	Lambda10	Lambda11	Lambda12
17/1/2023 16:24:20.28555	"152,363,908"	"152,745,908"	"153,099,433"	"153,489,807"	"153,930,772"	"154,721,396"	"155,085,697"	"155,472,744"	"155,838,881"
17/1/2023 16:24:20.78555	"152,355,929"	"152,739,368"	"153,094,093"	"153,485,103"	"153,926,572"	"154,717,999"	"155,082,542"	"155,472,744"	"155,837,293"
17/1/2023 16:24:21.28555	"152,355,837"	"152,739,544"	"153,094,208"	"153,485,253"	"153,926,471"	"154,717,386"	"155,081,676"	"155,468,705"	"155,835,762"
17/1/2023 16:24:21.78555	"152,355,683"	"152,738,725"	"153,093,365"	"153,484,324"	"153,925,636"	"154,717,058"	"155,081,536"	"155,468,705"	"155,836,370"
17/1/2023 16:24:22.28555	"152,354,567"	"152,738,170"	"153,092,867"	"153,483,853"	"153,925,019"	"154,716,421"	"155,081,044"	"155,468,705"	"155,836,219"
17/1/2023 16:24:22.78555	"152,354,459"	"152,737,637"	"153,092,571"	"153,483,456"	"153,924,829"	"154,716,174"	"155,080,738"	"155,468,705"	"155,835,850"
17/1/2023 16:24:23.28555	"152,354,214"	"152,737,580"	"153,092,098"	"153,483,082"	"153,924,533"	"154,715,958"	"155,080,630"	"155,468,705"	"155,835,864"
17/1/2023 16:24:23.78555	"152,353,942"	"152,737,244"	"153,091,923"	"153,482,962"	"153,924,273"	"154,715,707"	"155,080,610"	"155,468,705"	"155,835,789"
17/1/2023 16:24:24.28555	"152,353,757"	"152,737,295"	"153,091,805"	"153,482,815"	"153,924,019"	"154,715,639"	"155,080,365"	"155,468,705"	"155,835,800"
17/1/2023 16:24:24.78555	"152,353,702"	"152,736,969"	"153,091,510"	"153,482,528"	"153,923,934"	"154,715,464"	"155,080,308"	"155,468,705"	"155,835,661"
17/1/2023 16:24:25.28555	"152,353,553"	"152,736,735"	"153,091,360"	"153,482,507"	"153,923,693"	"154,715,253"	"155,080,222"	"155,467,815"	"155,835,630"
17/1/2023 16:24:25.78555	"152,353,287"	"152,736,760"	"153,091,319"	"153,482,424"	"153,923,651"	"154,715,223"	"155,080,126"	"155,467,739"	"155,835,743"
